link;model;waist;weight;hips;bust;height;attractive
http://www.maxmodels.pl/modelka-camillle.html;Camillle;58;50;88;82;179;1
http://www.maxmodels.pl/modelka-klaj.html;Klaj;64;59;90;82;179;0
http://www.maxmodels.pl/modelka-goldina.html;goldina;68;58;92;85;179;1
http://www.maxmodels.pl/modelka-naaoomi95.html;naaoomi95;65;58;90;87;179;1
http://www.maxmodels.pl/modelka-aleksandrakiera.html;AleksandraKiera;67;59;96;88;179;0
http://www.maxmodels.pl/modelka-lenaa95.html;Lenaa95;69;60;90;89;179;1
http://www.maxmodels.pl/modelka-inaina.html;inaina;62;60;88;91;179;0
http://www.maxmodels.pl/modelka-kasiadra.html;kasiadra;64;63;90;93;179;1
http://www.maxmodels.pl/modelka-kasienka33.html;kasienka33;72;65;86;85;180;0
http://www.maxmodels.pl/modelka-bialykruk.html;BialyKruk;68;60;94;90;180;0
http://www.maxmodels.pl/modelka-natka-gd.html;natka-gd;60;50;89;86;174;1
