link;model;waist;weight;hips;bust;height;attractive
http://www.maxmodels.pl/modelka-malcat.html;malcat;0.333333333;0.305555556;0.4;0.517241379;0.552631579;0
http://www.maxmodels.pl/modelka-izabela1988.html;izabela1988;0.333333333;0.333333333;0.4;0.517241379;0.552631579;1
http://www.maxmodels.pl/modelka-annnuszka.html;Annnuszka;0.433333333;0.583333333;0.36;0.586206897;0.552631579;1
http://www.maxmodels.pl/modelka-ewelina_wrobel.html;ewelina_wrobel;0.833333333;0.861111111;0.52;0.724137931;0.552631579;0
http://www.maxmodels.pl/modelka-justyna_badura.html;justyna_badura;0.233333333;0.305555556;0.16;0.068965517;0.578947368;1
http://www.maxmodels.pl/modelka-natiii716.html;natiii716;0.166666667;0.222222222;0;0.103448276;0.578947368;0
http://www.maxmodels.pl/modelka-emiliajamik.html;EmiliaJamik;0.2;0.194444444;0;0.137931034;0.578947368;0
http://www.maxmodels.pl/modelka-ladyss42.html;LADySS42;0.166666667;0.222222222;0.12;0.172413793;0.578947368;1
http://www.maxmodels.pl/modelka-mini_.html;Mini_;0.6;0.444444444;0.24;0.172413793;0.578947368;1
http://www.maxmodels.pl/modelka-qeengunia.html;QeenGunia;0.433333333;0.361111111;0.36;0.310344828;0.578947368;0
http://www.maxmodels.pl/modelka-martynaq.html;martynaQ;0.2;0.222222222;0.4;0.310344828;0.578947368;1
http://www.maxmodels.pl/modelka-dbielaszka.html;DBielaszka;0.166666667;0.277777778;0.2;0.344827586;0.578947368;1
http://www.maxmodels.pl/modelka-someoneelse.html;someoneelse;0.166666667;0.277777778;0.32;0.344827586;0.578947368;1
http://www.maxmodels.pl/modelka-agnesska.html;agnesska;0.366666667;0.416666667;0.4;0.344827586;0.578947368;1
http://www.maxmodels.pl/modelka-dooti.html;dooti;0.366666667;0.333333333;0.12;0.379310345;0.578947368;0
http://www.maxmodels.pl/modelka-agatax17.html;agatax17;0.466666667;0.472222222;0.36;0.413793103;0.578947368;0
http://www.maxmodels.pl/modelka-tiziana.html;Tiziana;0.333333333;0.472222222;0.52;0.413793103;0.578947368;0
http://www.maxmodels.pl/modelka-d00ris.html;d00ris;0.433333333;0.305555556;0.6;0.413793103;0.578947368;1
http://www.maxmodels.pl/modelka-dea2000.html;Dea2000;0.233333333;0.083333333;0.12;0.551724138;0.578947368;1
